Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
Bereavement,2010,109,5.0,8100,Stevan Mena,Stevan Mena,Michael Biehn|Alexandra Daddario|Brett Rickaby,Crime|Horror|Thriller,2000000.0,10000000.0
KKN di Desa Penari,2022,130,5.9,2400,Awi Suryadi,"Gerald Mamahit, Lele Laila, SimpleMan",Tissa Biani Azzahra|Adinda Thomas|Achmad Megantara,Horror|Mystery|Thriller,1100000.0,25000000.0
Deadlands 2: Trapped,2008,80,3.3,362,Gary Ugarek,Gary Ugarek,Jim Krut|Joseph D. Durbin|Chris L. Clark,Horror|Sci-Fi|Thriller,5800.0,2950.0
Giallo,2009,92,4.4,6100,Dario Argento,"Jim Agnew, Sean Keller, Dario Argento",Adrien Brody|Emmanuelle Seigner|Elsa Pataky,Crime|Horror|Mystery,14000000.0,50113.0
The Wolf of Snow Hollow,2020,85,6.2,24000,Jim Cummings,Jim Cummings,Jim Cummings|Riki Lindhome|Robert Forster,Comedy|Horror|Mystery,2000000.0,239828.0
Bonnie & Clyde vs. Dracula,2008,91,4.4,431,Timothy Friend,Timothy Friend,Tiffany Shepis|Trent Haaga|Allen Lowman,Action|Crime|Horror,2500000.0,50700000.0
The Return of the Vampire,1943,69,6.2,2700,Lew Landers,"Griffin Jay, Kurt Neumann, Randall Faye",Bela Lugosi|Frieda Inescort|Nina Foch,Drama|Horror,75000.0,1090000.0
The Spiral Staircase,1946,83,7.3,11000,Robert Siodmak,"Mel Dinelli, Ethel Lina White",Dorothy McGuire|George Brent|Ethel Barrymore,Drama|Horror|Mystery,750000.0,2800000.0
Scream,2022,114,6.3,159000,"Matt Bettinelli-Olpin, Tyler Gillett","James Vanderbilt, Guy Busick, Kevin Williamson",Neve Campbell|Courteney Cox|David Arquette,Horror|Mystery|Thriller,24000000.0,137743924.0
Psycho Goreman,2020,95,6.3,15000,Steven Kostanski,Steven Kostanski,Nita-Josée Hanna|Owen Myre|Matthew Ninaber,Comedy|Horror|Sci-Fi,1700000.0,95384.0
Devyataya,2019,99,5.4,1200,Nikolay Khomeriki,"Sergei Bodrov, Marina Denisevich, Marina Dyachenko",Evgeniy Tsyganov|Daisy Head|Dmitriy Lysenkov,Adventure|Crime|Horror,7000000.0,958558.0
Drag Me to Hell,2009,99,6.6,218000,Sam Raimi,"Sam Raimi, Ivan Raimi",Alison Lohman|Justin Long|Ruth Livier,Horror,30000000.0,90810892.0
Jennifer's Body,2009,102,5.5,151000,Karyn Kusama,Diablo Cody,Megan Fox|Amanda Seyfried|Adam Brody,Comedy|Horror,16000000.0,31556061.0
Saw V,2008,92,5.8,138000,David Hackl,"Patrick Melton, Marcus Dunstan",Scott Patterson|Costas Mandylor|Tobin Bell,Horror|Thriller,10800000.0,113864059.0
The Requin,2022,89,2.6,6700,Le-Van Kiet,Le-Van Kiet,Alicia Silverstone|James Tupper|Deirdre O'Connell,Horror|Thriller,8500000.0,130493.0
Jeepers Creepers 3,2017,100,3.9,24000,Victor Salva,Victor Salva,Stan Shaw|Gabrielle Haugh|Brandon Smith,Horror,6200000.0,4017852.0
The Unborn,2009,88,4.7,53000,David S. Goyer,David S. Goyer,Odette Annable|Gary Oldman|Cam Gigandet,Horror|Mystery|Thriller,16000000.0,76514050.0
Låt den rätte komma in,2008,114,7.8,227000,Tomas Alfredson,John Ajvide Lindqvist,Kåre Hedebrant|Lina Leandersson|Per Ragnar,Drama|Fantasy|Horror,4000000.0,10785801.0
Masquerade,2021,80,3.9,1200,Shane Dax Taylor,Shane Dax Taylor,Bella Thorne|Alyvia Alyn Lind|Skyler Samuels,Horror|Mystery|Thriller,2500000.0,8866.0
The Final Destination,2009,82,5.1,115000,David R. Ellis,"Eric Bress, Jeffrey Reddick",Nick Zano|Krista Allen|Andrew Fiscella,Horror|Thriller,40000000.0,186200000.0
Chain Letter,2010,88,4.1,5700,Deon Taylor,"Deon Taylor, Michael J. Pagan, Thomas Fenton",Nikki Reed|Keith David|Brad Dourif,Horror|Mystery,5000000.0,143000.0
Orphan,2009,123,7.0,253000,Jaume Collet-Serra,"David Leslie Johnson-McGoldrick, Alex Mace",Vera Farmiga|Peter Sarsgaard|Isabelle Fuhrman,Horror|Mystery|Thriller,20000000.0,77912251.0
Zombieland,2009,88,7.5,622000,Ruben Fleischer,"Rhett Reese, Paul Wernick",Jesse Eisenberg|Emma Stone|Woody Harrelson,Action|Comedy|Horror,23600000.0,102391540.0
