original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Jason Goes to Hell: The Final Friday,Jason Goes to Hell: The Final Friday,en,1993-08-13,37,743,4,3000000,15938065,87,Horror,1993
The Exorcist III,The Exorcist III,en,1990-08-17,37,541,6,9300000,39024251,110,"Horror, Mystery",1990
Ouija: Origin of Evil,Ouija: Origin of Evil,en,2016-10-20,37,2127,6,9000000,81705746,99,"Drama, Horror, Mystery",2016
The Invisible Man,The Invisible Man,en,2020-02-26,37,4778,7,7000000,130234661,124,"Horror, Science Fiction, Thriller",2020
The Mummy,The Mummy,en,2017-06-06,37,6346,5,125000000,409231607,110,"Action, Adventure, Fantasy, Horror, Thriller",2017
Friday the 13th Part VI: Jason Lives,Friday the 13th Part VI: Jason Lives,en,1986-08-01,37,899,6,3000000,19472057,87,"Horror, Mystery, Thriller",1986
Scream 3,Scream 3,en,2000-02-03,37,2664,5,40000000,161834276,116,"Horror, Mystery",2000
The Unborn,The Unborn,en,2009-01-09,37,1185,5,16000000,76514050,87,"Horror, Mystery, Thriller",2009
A Nightmare on Elm Street 4: The Dream Master,A Nightmare on Elm Street 4: The Dream Master,en,1988-08-19,37,1095,5,13000000,49400000,94,"Horror, Thriller",1988
Carrie,Carrie,en,2013-10-16,37,3919,6,30000000,82394288,100,"Drama, Horror",2013
Bordello of Blood,Bordello of Blood,en,1996-08-16,37,295,5,15000000,5600000,87,"Comedy, Horror",1996
Cracked,Cracked,th,2022-02-24,37,11,6,3000000,6000000,93,"Horror, Thriller",2022
The Empty Man,The Empty Man,en,2020-10-22,37,493,6,16000000,4176641,137,"Horror, Mystery, Thriller",2020
[REC]²,[REC]²,es,2009-09-15,37,1652,6,5600000,18469680,85,"Horror, Thriller",2009
Wolf Creek 2,Wolf Creek 2,en,2013-08-30,36,485,6,8000000,9630444,106,"Horror, Thriller",2013
Escape Room,Escape Room,en,2019-01-03,36,3924,6,9000000,155712077,100,"Horror, Mystery, Thriller",2019
Jason X,Jason X,en,2001-07-24,36,1069,4,11000000,16951798,91,"Horror, Science Fiction",2001
Friday the 13th Part VIII: Jason Takes Manhattan,Friday the 13th Part VIII: Jason Takes Manhattan,en,1989-07-28,36,793,5,5000000,14000000,100,"Horror, Thriller",1989
Silent Hill: Revelation 3D,Silent Hill: Revelation 3D,en,2012-10-10,36,1336,5,20000000,52302796,94,"Horror, Mystery, Thriller",2012
The Green Inferno,The Green Inferno,en,2013-09-08,36,1153,5,5000000,12666449,100,"Adventure, Horror, Thriller",2013
Piranha,Piranha,en,1978-08-03,35,496,5,660000,16000000,94,"Comedy, Horror",1978
Poltergeist,Poltergeist,en,2015-05-20,35,2031,5,35000000,95437994,93,Horror,2015
Underwater,Underwater,en,2020-01-08,35,2537,6,50000000,40882928,95,"Action, Horror, Science Fiction",2020
Silent Hill,Silent Hill,en,2006-04-21,35,3519,6,50000000,100605135,125,"Horror, Mystery",2006
Lights Out,Lights Out,en,2016-07-21,35,3384,6,4900000,148868835,81,"Horror, Mystery, Thriller",2016
