ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
980,The Haunting in Connecticut 2: Ghosts of Georgia,2013,101,5.3,18000,Tom Elkins,David Coggeshall,Abigail Spencer|Chad Michael Murray|Katee Sackhoff,Drama|Horror|Mystery,8000000,5127434
981,The Conjuring,2013,112,7.5,555000,James Wan,"Chad Hayes, Carey W. Hayes",Patrick Wilson|Vera Farmiga|Ron Livingston,Horror|Mystery|Thriller,13000000,320415166
982,Stake Land,2010,98,6.4,44000,Jim Mickle,"Nick Damici, Jim Mickle",Connor Paolo|Nick Damici|Kelly McGillis,Drama|Horror|Sci-Fi,650000,33245
983,Cat Person,2023,118,6.0,5600,Susanna Fogel,"Michelle Ashford, Kristen Roupenian",Emilia Jones|Nicholas Braun|Geraldine Viswanathan,Drama|Horror|Thriller,12000000,282000
984,Tucker and Dale vs Evil,2010,89,7.5,194000,Eli Craig,"Eli Craig, Morgan Jurgenson",Tyler Labine|Alan Tudyk|Katrina Bowden,Comedy|Horror,5000000,5224938
985,The Human Centipede (First Sequence),2009,92,4.4,87000,Tom Six,Tom Six,Dieter Laser|Winter Williams|Ashlynn Yennie,Horror,2000000,252207
986,Earth Day,2009,101,4.7,122,Mister Ooh-La-La,Mister Ooh-La-La,Christopher Anglin|Courtney Anglin|Dawn Baby,Comedy|Horror,80000000,233093859
988,Saw 3D,2010,90,5.5,110000,Kevin Greutert,"Patrick Melton, Marcus Dunstan",Tobin Bell|Costas Mandylor|Betsy Russell,Horror|Mystery,20000000,136435701
990,Red Riding Hood,2011,100,5.4,116000,Catherine Hardwicke,David Leslie Johnson-McGoldrick,Amanda Seyfried|Lukas Haas|Gary Oldman,Fantasy|Horror|Mystery,42000000,89162162
991,A Night of the Living Dead,2022,80,3.3,103,"Kenny Scott Guffey, Jake C. Young",Tyler Aucoin,Brandon Ludwig|Jake C. Young|Nancy Anne Ridder,Horror,114000,30000000
992,Xia dao xiao,2009,102,5.1,193,"Boris Boo, Jack Neo","Sek Yieng Bon, Boris Boo, Hee Ann Ho",Fish Chaar|John Cheng|Marcus Chin,Comedy|Horror,782640,2499412
993,Late Night with the Devil,2023,93,7.1,38000,"Cameron Cairnes, Colin Cairnes","Colin Cairnes, Cameron Cairnes",David Dastmalchian|Laura Gordon|Ian Bliss,Horror,2000000,11902746
994,Halloween,2018,106,6.5,169000,David Gordon Green,"John Carpenter, Debra Hill, Jeff Fradley",Jamie Lee Curtis|Judy Greer|Andi Matichak,Crime|Drama|Horror,325000,70260597
995,Mad God,2021,83,6.8,15000,Phil Tippett,Phil Tippett,Alex Cox|Niketa Roman|Satish Ratakonda,Animation|Fantasy|Horror,250000,322619
996,Hostel,2022,134,4.1,242,Sumanth Radhakrishnan,Sumanth Radhakrishnan,Aishwarya|Ajay|Lollusabha Anthony,Comedy|Drama|Horror,10200000,35728183
997,Dashcam,2021,80,4.6,6200,Rob Savage,"Gemma Hurley, Rob Savage, Jed Shepherd",Annie Hardy|Amar Chadha-Patel|Angela Enahoro,Horror,100000,58156
998,Area 51,2015,91,4.3,15000,Oren Peli,"Christopher Denham, Oren Peli",Reid Warner|Darrin Bragg|Ben Rovner,Horror|Mystery|Sci-Fi,5000000,7556
999,The Vatican Tapes,2015,91,4.7,19000,Mark Neveldine,"Christopher Borrelli, Michael C. Martin, Chris Morgan",Olivia Taylor Dudley|Michael Peña|Dougray Scott,Horror|Thriller,13000000,1784763
1000,L'orafo,2022,89,5.0,467,Vincenzo Ricchiuto,"Vincenzo Ricchiuto, Germano Tarricone",Stefania Casini|Gianluca Vannucci|Stefano Fregni,Horror|Thriller,250000,63830
1001,Byzantium,2012,118,6.5,46000,Neil Jordan,Moira Buffini,Saoirse Ronan|Gemma Arterton|Sam Riley,Drama|Fantasy|Horror,10000000,89237
1002,The Divide,2011,112,5.8,39000,Xavier Gens,"Karl Mueller, Eron Sheean",Lauren German|Michael Biehn|Milo Ventimiglia,Drama|Horror|Sci-Fi,3000000,156362
1003,Paranormal Activity 2,2010,91,5.7,110000,Tod Williams,"Michael R. Perry, Christopher Landon, Tom Pabst",Katie Featherston|Micah Sloat|Molly Ephraim,Horror|Mystery,3000000,177512032
1004,Blair Witch,2016,89,5.0,50000,Adam Wingard,Simon Barrett,James Allen McCune|Callie Hernandez|Corbin Reid,Horror|Mystery|Thriller,5000000,45172994
1005,Apartment 1303 3D,2012,85,2.5,6200,Michael Taverna,"Kei Ôishi, Michael Taverna",Mischa Barton|Julianne Michelle|Rebecca De Mornay,Horror,5000000,3377891
1006,Slotherhouse,2023,93,4.6,4100,Matthew Goodhue,"Bradley Fowler, Cady Lanigan",Lisa Ambalavanar|Sydney Craven|Andrew Horton,Comedy|Horror|Thriller,350000,123000
1007,The Figurine,2009,120,4.4,304,Kunle Afolayan,,Wale Adebayo|Kate Adepegba|Kunle Afolayan,Horror|Thriller,300000,200000
1008,Smile,2022,115,6.5,162000,Parker Finn,Parker Finn,Sosie Bacon|Jessie T. Usher|Kyle Gallner,Horror|Mystery|Thriller,17000000,217408513
