original_title,title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,genre_names,release_year
Poltergeist II: The Other Side,Poltergeist II: The Other Side,en,1986-05-23,23.377,520.0,6.0,19000000.0,40996665.0,91.0,"Horror, Thriller",1986
eXistenZ,eXistenZ,en,1999-04-14,23.31,1548.0,6.8,15000000.0,2856712.0,97.0,"Action, Horror, Science Fiction, Thriller",1999
Book of Shadows: Blair Witch 2,Book of Shadows: Blair Witch 2,en,2000-10-27,23.306,650.0,4.2,15000000.0,47737094.0,90.0,"Horror, Mystery, Thriller",2000
Pandorum,Pandorum,en,2009-09-08,23.262,1952.0,6.5,33000000.0,20648328.0,108.0,"Action, Horror, Mystery, Science Fiction, Thriller",2009
I Still Know What You Did Last Summer,I Still Know What You Did Last Summer,en,1998-11-13,23.219,1225.0,5.3,65000000.0,40002112.0,100.0,"Horror, Mystery, Thriller",1998
Maximum Overdrive,Maximum Overdrive,en,1986-07-25,23.138,568.0,5.7,10000000.0,7433663.0,97.0,"Action, Horror, Science Fiction",1986
Dreamcatcher,Dreamcatcher,en,2003-03-21,23.125,1486.0,5.5,68000000.0,75700000.0,136.0,"Drama, Horror, Science Fiction, Thriller",2003
Red Eye,Red Eye,en,2005-08-19,23.036,1546.0,6.3,26000000.0,57891803.0,85.0,"Horror, Thriller",2005
The Bad Batch,The Bad Batch,en,2017-06-23,22.996,895.0,5.2,6000000.0,180851.0,119.0,"Drama, Horror, Science Fiction",2017
Rosemary's Baby,Rosemary's Baby,en,1968-06-12,22.975,3211.0,7.8,3200000.0,33395426.0,138.0,"Drama, Horror, Thriller",1968
Grave,Raw,fr,2016-11-11,22.941,2681.0,7.1,3500000.0,4100000.0,99.0,"Comedy, Drama, Horror",2016
The Woman in Black,The Woman in Black,en,2012-02-03,22.819,3088.0,6.1,17000000.0,127730736.0,95.0,"Drama, Horror, Thriller",2012
Incarnate,Incarnate,en,2016-12-01,22.736,477.0,5.3,5000000.0,6341855.0,91.0,"Horror, Thriller",2016
The Omen,The Omen,en,2006-06-06,22.728,871.0,5.5,25000000.0,119188334.0,110.0,Horror,2006
Come Play,Come Play,en,2020-10-28,22.708,477.0,6.3,9000000.0,8119285.0,96.0,Horror,2020
Deliver Us from Evil,Deliver Us from Evil,en,2014-07-01,22.676,1760.0,6.2,30000000.0,87937815.0,118.0,"Crime, Horror, Thriller",2014
El bar,The Bar,es,2017-02-15,22.662,1149.0,6.3,6045750.0,3662671.0,102.0,"Comedy, Horror, Thriller",2017
Revenge,Revenge,fr,2017-01-25,22.601,1457.0,6.4,2900000.0,692079.0,109.0,"Action, Horror, Thriller",2017
mother!,mother!,en,2017-09-13,22.57,5863.0,7.0,30000000.0,44516999.0,121.0,"Drama, Horror, Mystery",2017
Slither,Slither,en,2006-03-31,22.55,1184.0,6.5,15000000.0,12834936.0,95.0,"Comedy, Horror, Science Fiction",2006
Hellraiser: Bloodline,Hellraiser: Bloodline,en,1996-03-08,22.544,395.0,5.3,4000000.0,16675000.0,86.0,"Horror, Science Fiction",1996
Winchester,Winchester,en,2018-02-02,22.504,1543.0,5.9,3500000.0,44019588.0,100.0,"Horror, Thriller",2018
Blair Witch,Blair Witch,en,2016-09-15,22.395,1663.0,5.2,5000000.0,45172994.0,89.0,"Horror, Thriller",2016
Vacancy,Vacancy,en,2007-04-20,22.325,1162.0,6.2,19000000.0,35300645.0,85.0,"Horror, Thriller",2007
呪怨,Ju-on: The Grudge,ja,2002-10-18,22.301,610.0,6.7,3500000.0,3657876.0,92.0,Horror,2002
The Grudge 2,The Grudge 2,en,2006-10-12,22.217,851.0,5.5,20000000.0,39143839.0,102.0,"Horror, Thriller",2006
The Forest,The Forest,en,2016-01-07,22.17,1543.0,5.2,10000000.0,37608299.0,95.0,"Horror, Mystery, Thriller",2016
When a Stranger Calls,When a Stranger Calls,en,2006-02-03,21.961,886.0,5.7,15000000.0,67062123.0,87.0,"Horror, Mystery",2006
