registration_number,postal_code,transaction_value,transaction_date,built_area,latitude,longitude,neighborhood
7819900131.0,05133-130,350000,2022-01-17,193,-23.4896011,-46.7413088,Vila Guedes
15310700901.0,03978-770,181000,2022-01-21,131,-23.6208863,-46.499256,Vila Cardoso Franco
4309901093.0,04284-080,900000,2022-01-14,133,-23.6103544,-46.6037557,Vila Moinho Velho
17801500295.0,04836-400,150000,2022-01-14,40,-23.7479369,-46.7102624,Jardim Alpino
7002103660.0,02372-100,1118000,2022-01-17,242,-23.4614271,-46.6251369,Tremembé
11362400083.0,03680-010,264000,2022-01-17,82,-23.524977,-46.4908582,Burgo Paulista
7835900483.0,05142-020,650000,2021-12-30,150,-23.4946282,-46.72839,Chácara Inglesa
15720703208.0,04191-000,470000,2022-01-14,82,-23.6433907,-46.6039727,Vila Caraguata
16034200481.0,05396-450,1090000,2022-01-14,202,-23.5718365,-46.7712736,Parque dos Principes
4911300541.0,04162-070,530000,2022-01-12,200,-23.6264946,-46.6073512,Vila Moraes
3907102975.0,04113-020,1160000,2022-01-12,160,-23.5865371,-46.6276193,Vila Mariana
12317900741.0,05659-020,278294,2022-01-13,65,-23.6121316,-46.7239612,Paraisópolis
5810100805.0,03515-000,321500,2022-01-24,95,-23.5383913,-46.5284477,Vila Matilde
11742200442.0,03920-100,300000,2022-01-18,112,-23.5939063,-46.5221288,Vila União (Zona Leste)
16825601201.0,05780-290,850000,2022-01-12,85,-23.6472387,-46.7500406,Vila Prel
19800401041.0,02306-004,307000,2022-01-17,154,-23.4501821,-46.5990885,Parque Casa de Pedra
12038200180.0,04655-020,640000,2022-01-14,139,-23.6622347,-46.6718684,Jardim Alzira
9042301066.0,04674-060,1250000,2022-01-20,158,-23.6640329,-46.6837385,Jardim Itapeva
3404600381.0,01534-030,915000,2022-01-10,180,-23.5719448,-46.6269459,Aclimação
14511800188.0,08275-110,765000,2022-01-07,147,-23.5709674,-46.4749536,Jardim Nossa Senhora do Carmo
5931100717.0,03661-000,295000,2022-01-19,76,-23.5247058,-46.5018732,Vila Ré
5514402517.0,03422-001,300000,2022-01-18,72,-23.5591901,-46.543797,Vila Carrão
29911200971.0,04549-002,600000,2022-01-19,78,-23.6026999,-46.6779282,Vila Olímpia
8820900203.0,04640-050,6100000,2022-01-21,764,-23.6387764,-46.679255,Jardim Cordeiro
13439200131.0,08122-210,355000,2022-01-11,96,-23.4934641,-46.3767323,Jardim das Oliveiras
16407200295.0,04949-030,140000,2022-01-20,70,-23.7175376,-46.7681038,Jardim Aracati
9111100885.0,04337-160,260000,2022-01-11,114,-23.6664294,-46.6477549,Americanópolis
10163200164.0,05616-040,1340000,2022-01-24,180,-23.5887776,-46.72193840000001,Jardim Namba
13820600298.0,08430-570,137895,2022-01-20,107,-23.530149,-46.4219313,Jardim Etelvina
5104601870.0,03153-000,365000,2022-01-18,155,-23.5892411,-46.5883668,Quinta da Paineira
10203900544.0,03273-520,300000,2022-01-20,120,-23.5759282,-46.5592263,Vila Santa Clara
8310200951.0,05425-011,1479013,2022-01-19,96,-23.5700705,-46.6990603,Pinheiros
4814100744.0,04161-070,375000,2022-01-13,82,-23.6296033,-46.6157951,Vila Brasilina
11239300734.0,08060-040,290000,2022-01-19,120,-23.5009702,-46.4533571,Vila Jacuí
23004700059.0,08255-420,68100,2022-01-19,23,-23.5496913,-46.4352504,Conjunto Residencial José Bonifácio
19800400825.0,02306-004,338000,2022-01-17,135,-23.4501821,-46.5990885,Parque Casa de Pedra
5304801164.0,03349-015,250000,2022-01-26,55,-23.5672294,-46.5609577,Vila Invernada
5911400944.0,03662-000,350000,2022-01-12,73,-23.5241842,-46.4986656,Vila Ré
8812000436.0,04739-060,2960500,2022-01-18,728,-23.6454741,-46.6930217,Santo Amaro
20110502300.0,05547-030,640000,2022-01-10,142,-23.5931734,-46.7737395,Jardim Rosa Maria
15709601811.0,04182-010,145000,2022-01-19,73,-23.6406399,-46.5992142,Jardim Santa Emilia
20109000097.0,05563-110,185000,2022-01-26,89,-23.6036731,-46.78441160000001,Jardim Arpoador
5701500926.0,03508-030,630000,2022-01-24,158,-23.5334596,-46.5324679,Chácara Seis de Outubro
7518701103.0,02521-000,600000,2022-01-19,136,-23.5025325,-46.6633274,Casa Verde Média
13212400111.0,08161-280,250000,2022-01-21,210,-23.5032372,-46.4136298,Jardim dos Ipes
6817300673.0,02254-020,318000,2022-01-20,86,-23.4835324,-46.592585,Vila Nivi
24508700088.0,08470-330,200000,2022-01-20,137,-23.5934875,-46.4049241,Cidade Tiradentes
5314100096.0,03351-110,500000,2022-01-26,106,-23.5730679,-46.5657758,Vila Diva (Zona Leste)
14105901515.0,08225-000,255000,2022-01-14,58,-23.5311634,-46.4586243,Vila Regina ( Zona Leste)
9003801215.0,04647-011,2450000,2022-01-21,291,-23.6471887,-46.6773245,Chácara Monte Alegre
16541500125.0,04930-130,200000,2022-01-19,35,-23.6792961,-46.75283659999999,Jardim Gustavo
