registration_number,postal_code,transaction_value,transaction_date,built_area
14026001783.0,08240-217,230000,2022-02-21,57
17421600018.0,04840-040,380000,2022-02-11,87
17019605272.0,05713-570,1100000,2022-02-14,394
6651501003.0,02230-080,150000,2022-02-12,58
14504100443.0,08280-090,510000,2022-02-14,124
11331600544.0,03562-000,100000,2022-02-18,68
19308600719.0,08451-290,220000,2022-02-07,55
14803500303.0,03456-010,600000,2022-02-15,122
5402500258.0,03316-070,477000,2022-02-18,79
9010600874.0,04676-070,515000,2022-02-16,101
5620800164.0,03317-060,500000,2022-01-31,89
5133901933.0,03211-090,580000,2022-02-16,89
13113800111.0,03810-000,340000,2022-02-15,148
16518600119.0,05832-300,350000,2022-02-16,100
11012101427.0,03736-020,404000,2022-02-11,68
11108200639.0,03881-140,450000,2022-02-11,71
14412700673.0,08290-650,250000,2022-02-04,60
5908601421.0,03654-010,335000,2022-02-14,78
14417801672.0,08215-650,475000,2022-02-11,131
18312201849.0,05782-370,610000,2022-02-15,100
22806800259.0,02325-020,100000,2022-02-15,21
30903601688.0,04135-010,260000,2022-02-15,71
16036300173.0,05386-330,520000,2022-02-15,196
17126710800.0,05634-001,1700000,2022-02-16,249
11606800621.0,03447-060,600000,2022-01-31,143
11742300579.0,03279-250,335000,2022-02-14,63
17523203239.0,04822-200,200000,2022-02-15,72
6900200621.0,02303-040,450000,2022-02-16,140
18407100128.0,05857-290,105000,2022-02-17,80
14808500182.0,03908-000,600000,2022-02-18,95
14005200213.0,08235-680,250000,2022-02-18,67
5907401559.0,03650-000,325000,2022-02-08,167
18706701050.0,05223-050,100000,2022-02-18,54
11933500017.0,04256-190,520000,2022-02-15,156
14517700551.0,08275-410,170000,2022-02-21,60
11148801412.0,03679-150,270000,2022-02-16,90
15008800611.0,03948-000,350000,2022-02-22,130
21402106422.0,02998-060,350000,2022-02-09,54
6829200751.0,02211-010,600000,2022-02-14,140
17426800511.0,04851-205,97000,2022-02-16,100
14504202505.0,08280-350,239000,2022-02-14,52
16031300086.0,05396-450,1320000,2022-02-16,176
14015300271.0,08050-490,325000,2022-02-07,95
11047801123.0,03735-000,485000,2022-02-14,176
18200400262.0,05870-110,680000,2022-02-08,246
12409110583.0,05171-600,445000,2022-02-16,210
9509200190.0,04789-140,1680000,2022-02-17,500
18513700338.0,05544-130,324000,2022-02-23,68
16310302085.0,04826-010,600000,2022-02-17,91
7849500271.0,05101-330,1581570,2022-02-17,550
6111200070.0,03638-140,1176514,2022-02-23,80
10206802209.0,03273-200,420000,2022-02-15,130
14043500385.0,08051-460,265000,2022-01-27,96
11115200592.0,03884-020,284000,2022-02-23,144
16204200967.0,04812-130,229600,2022-02-10,76
8817300209.0,04737-020,1900000,2022-02-14,378
21402102771.0,02998-060,305000,2022-02-18,155
19809102746.0,02318-150,380000,2022-02-16,110
17800800384.0,04832-035,150000,2022-02-21,97
11606800514.0,03447-060,530000,2022-02-24,174
10918801590.0,02356-000,280000,2022-02-21,59
12416500340.0,05171-010,120000,2022-02-17,83
